"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Peacock Eel","RB10","Floc","Dry",0.245,0.183,0.002,0.603,0.243,0.064,0.382,0.603,0.002
"Peacock Eel","RB10","Mangrove","Dry",0.194,0.215,0.001,0.77,0.105,0.027,0.298,0.7045,0.001
"Peacock Eel","RB10","Phytoplankton","Dry",0.286,0.164,0.041,0.646,0.265,0.158,0.39,0.646,0.041
"Peacock Eel","RB10","Epiphytes","Wet",0.417,0.245,0.029,0.893,0.392,0.214,0.603,0.893,0.029
"Peacock Eel","RB10","Floc","Wet",0.169,0.156,0.001,0.534,0.132,0.031,0.269,0.534,0.001
"Peacock Eel","RB10","Mangrove","Wet",0.203,0.232,0.001,0.789,0.099,0.023,0.328,0.7855,0.001
"Peacock Eel","RB10","Phytoplankton","Wet",0.211,0.146,0.023,0.558,0.178,0.101,0.291,0.558,0.023
"Redear Sunfish","RB10","Epiphytes","Dry",0.38,0.251,0.016,0.867,0.374,0.15,0.577,0.867,0.016
"Redear Sunfish","RB10","Floc","Dry",0.07,0.076,0.002,0.271,0.045,0.017,0.095,0.212,0.002
"Redear Sunfish","RB10","Mangrove","Dry",0.123,0.168,0.001,0.661,0.053,0.016,0.161,0.3785,0.001
"Redear Sunfish","RB10","Phytoplankton","Dry",0.427,0.243,0.049,0.883,0.397,0.224,0.621,0.883,0.049
"Redear Sunfish","RB10","Epiphytes","Wet",0.535,0.248,0.03,0.935,0.571,0.356,0.728,0.935,0.03
"Redear Sunfish","RB10","Floc","Wet",0.053,0.081,0.001,0.305,0.022,0.007,0.061,0.142,0.001
"Redear Sunfish","RB10","Mangrove","Wet",0.13,0.193,0,0.747,0.045,0.012,0.159,0.3795,0
"Redear Sunfish","RB10","Phytoplankton","Wet",0.283,0.187,0.029,0.719,0.245,0.137,0.394,0.719,0.029
"Redfish","RB10","Epiphytes","Wet",0.56,0.221,0.04,0.919,0.571,0.422,0.729,0.919,0.04
"Redfish","RB10","Floc","Wet",0.04,0.051,0.001,0.182,0.022,0.008,0.053,0.1205,0.001
"Redfish","RB10","Mangrove","Wet",0.113,0.165,0.001,0.642,0.048,0.012,0.135,0.3195,0.001
"Redfish","RB10","Phytoplankton","Wet",0.287,0.172,0.029,0.657,0.266,0.149,0.404,0.657,0.029
"Snook","RB10","Epiphytes","Wet",0.518,0.228,0.043,0.907,0.527,0.361,0.692,0.907,0.043
"Snook","RB10","Floc","Wet",0.059,0.07,0.001,0.263,0.032,0.011,0.08,0.1835,0.001
"Snook","RB10","Mangrove","Wet",0.181,0.224,0.001,0.772,0.073,0.016,0.284,0.686,0.001
"Snook","RB10","Phytoplankton","Wet",0.242,0.153,0.026,0.584,0.216,0.122,0.339,0.584,0.026
"Spotted Sunfish","RB10","Epiphytes","Wet",0.368,0.238,0.026,0.871,0.325,0.167,0.537,0.871,0.026
"Spotted Sunfish","RB10","Floc","Wet",0.083,0.101,0.001,0.374,0.042,0.012,0.12,0.282,0.001
"Spotted Sunfish","RB10","Mangrove","Wet",0.168,0.209,0.001,0.73,0.072,0.016,0.258,0.621,0.001
"Spotted Sunfish","RB10","Phytoplankton","Wet",0.38,0.221,0.042,0.843,0.351,0.201,0.545,0.843,0.042
