"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Isopod","RB10","Phytoplankton","Dry",0.077,0.059,0.008,0.227,0.062,0.034,0.104,0.209,0.008
"Isopod","RB10","Wet Mangrove","Dry",0.025,0.037,0,0.129,0.011,0.004,0.029,0.0665,0
"Largemouth Bass","RB10","Dry Mangrove","Wet",0.15,0.166,0.001,0.606,0.086,0.023,0.228,0.5355,0.001
"Largemouth Bass","RB10","Epiphytes","Wet",0.539,0.213,0.132,0.918,0.539,0.382,0.702,0.918,0.132
"Largemouth Bass","RB10","Phytoplankton","Wet",0.255,0.183,0.021,0.713,0.217,0.109,0.355,0.713,0.021
"Largemouth Bass","RB10","Wet Mangrove","Wet",0.057,0.091,0,0.359,0.019,0.005,0.066,0.1575,0
"Mangrove snapper","RB10","Dry Mangrove","Wet",0.108,0.123,0.001,0.444,0.061,0.019,0.156,0.3615,0.001
"Mangrove snapper","RB10","Epiphytes","Wet",0.577,0.207,0.136,0.93,0.589,0.432,0.741,0.93,0.136
"Mangrove snapper","RB10","Phytoplankton","Wet",0.271,0.192,0.02,0.736,0.232,0.119,0.382,0.736,0.02
"Mangrove snapper","RB10","Wet Mangrove","Wet",0.044,0.071,0,0.261,0.015,0.004,0.051,0.1215,0
"Mangrove Snapper","RB10","Dry Mangrove","Wet",0.071,0.088,0.001,0.309,0.04,0.013,0.096,0.2205,0.001
"Mangrove Snapper","RB10","Epiphytes","Wet",0.739,0.143,0.433,0.958,0.752,0.647,0.851,0.958,0.433
"Mangrove Snapper","RB10","Phytoplankton","Wet",0.157,0.115,0.015,0.433,0.132,0.066,0.224,0.433,0.015
"Mangrove Snapper","RB10","Wet Mangrove","Wet",0.033,0.053,0,0.196,0.012,0.003,0.04,0.0955,0
"Peacock Eel","RB10","Dry Mangrove","Dry",0.178,0.176,0.002,0.601,0.117,0.033,0.279,0.601,0.002
"Peacock Eel","RB10","Epiphytes","Dry",0.505,0.208,0.092,0.895,0.504,0.356,0.658,0.895,0.092
"Peacock Eel","RB10","Phytoplankton","Dry",0.227,0.161,0.024,0.638,0.19,0.102,0.315,0.6345,0.024
"Peacock Eel","RB10","Wet Mangrove","Dry",0.09,0.138,0,0.521,0.028,0.008,0.1,0.238,0
