SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph10,2/27/18,2018,February,36.19,0.00,0.00,506.93,0.29,0.00,0.00,8.92,56.83
TSph11,2/27/18,2018,February,35.08,0.00,0.00,491.32,0.36,0.00,0.00,11.18,43.94
TSph7,2/27/18,2018,February,63.50,0.00,0.00,889.37,0.51,0.00,0.00,15.80,56.30
TSph9,2/27/18,2018,February,47.56,0.00,0.00,666.16,0.33,0.00,0.00,10.13,65.77
TSph7,3/2/18,2018,March,66.52,0.00,0.00,931.76,0.33,0.00,0.00,10.22,91.16
TSph3,3/3/18,2018,March,100.34,0.00,0.00,1405.39,0.36,0.00,0.00,11.15,126.04
TSph7,3/5/18,2018,March,70.95,0.00,0.00,993.78,0.48,0.00,0.00,14.87,66.84
TSph7,3/8/18,2018,March,65.67,0.00,0.00,919.78,0.36,0.00,0.00,11.15,82.49
TSph3,3/9/18,2018,March,89.43,0.00,0.00,1252.60,0.33,0.00,0.00,10.22,122.55
TSph7,3/11/18,2018,March,64.38,0.00,0.00,901.70,0.39,0.00,0.00,12.08,74.64
TSph7,3/14/18,2018,March,71.08,0.00,0.00,995.59,0.67,0.00,0.00,20.75,47.97
TSph3,3/15/18,2018,March,87.46,0.00,0.00,1225.02,0.36,0.00,0.00,11.15,109.86
TSph7,3/17/18,2018,March,65.59,0.00,0.00,918.65,0.41,0.00,0.00,12.70,72.34
TSph3,3/20/18,2018,March,86.36,0.00,0.00,1209.63,0.37,0.00,0.00,11.46,105.55
TSph7,3/20/18,2018,March,65.74,0.00,0.00,920.75,0.39,0.00,0.00,12.08,76.22
TSph7,3/23/18,2018,March,67.31,0.00,0.00,942.87,0.63,0.00,0.00,19.51,48.32
TSph10,3/26/18,2018,March,63.01,0.00,0.00,882.51,0.63,0.00,0.00,19.51,45.23
TSph11,3/26/18,2018,March,28.39,0.00,0.00,397.63,0.45,0.00,0.00,13.85,28.72
TSph3,3/26/18,2018,March,85.37,0.00,0.00,1195.78,0.37,0.00,0.00,11.46,104.34
TSph7,3/26/18,2018,March,69.42,0.00,0.00,972.38,0.50,0.00,0.00,15.49,62.79
TSph9,3/26/18,2018,March,53.69,0.00,0.00,752.04,0.36,0.00,0.00,11.15,67.44
TSph7,3/29/18,2018,March,73.08,0.00,0.00,1023.60,0.59,0.00,0.00,18.27,56.01
TSph3,4/1/18,2018,April,85.48,0.00,0.00,1197.25,0.31,0.00,0.00,9.60,124.69
TSph3,4/7/18,2018,April,99.19,0.00,0.00,1389.30,0.36,0.00,0.00,11.15,124.59
TSph3,4/13/18,2018,April,110.00,0.00,0.00,1540.76,0.36,0.00,0.00,11.15,138.18
TSph3,4/19/18,2018,April,126.67,0.00,0.00,1774.31,0.36,0.00,0.00,11.15,159.12
TSph3,4/24/18,2018,April,163.57,0.00,0.00,2291.18,0.64,0.00,0.00,19.82,115.58
TSph10,4/26/18,2018,April,63.94,0.00,0.00,895.54,0.49,0.00,0.00,15.21,58.89
TSph11,4/26/18,2018,April,18.97,0.00,0.00,265.71,0.36,0.00,0.00,11.18,23.76
TSph9,4/26/18,2018,April,45.98,0.00,0.00,644.08,0.28,0.00,0.00,8.73,73.74
TSph7,4/29/18,2018,April,59.59,0.00,0.00,834.69,1.00,0.00,0.00,30.97,26.95
TSph3,5/1/18,2018,May,219.82,0.00,0.00,3079.00,0.74,0.00,0.00,22.92,134.33
TSph7,5/2/18,2018,May,57.23,0.00,0.00,801.63,0.49,0.00,0.00,15.18,52.82
TSph7,5/5/18,2018,May,68.71,0.00,0.00,962.41,0.87,0.00,0.00,26.95,35.71
TSph3,5/7/18,2018,May,225.46,0.00,0.00,3158.00,0.66,0.00,0.00,20.44,154.48
TSph7,5/8/18,2018,May,66.62,0.00,0.00,933.19,0.50,0.00,0.00,15.49,60.26
TSph7,5/11/18,2018,May,64.97,0.00,0.00,910.02,0.43,0.00,0.00,13.32,68.33
TSph7,5/14/18,2018,May,64.55,0.00,0.00,904.12,0.50,0.00,0.00,15.49,58.38
TSph7,5/17/18,2018,May,53.75,0.00,0.00,752.86,0.38,0.00,0.00,11.77,63.96
TSph7,5/20/18,2018,May,53.00,0.00,0.00,742.39,0.44,0.00,0.00,13.63,54.47
TSph3,5/21/18,2018,May,172.18,0.00,0.00,2411.68,1.13,0.00,0.00,35.00,68.90
TSph7,5/23/18,2018,May,56.34,0.00,0.00,789.10,0.50,0.00,0.00,15.49,50.95
TSph7,5/26/18,2018,May,52.36,0.00,0.00,733.39,0.54,0.00,0.00,16.73,43.85
TSph3,5/28/18,2018,May,135.78,0.00,0.00,1901.81,0.42,0.00,0.00,13.01,146.19
TSph7,5/29/18,2018,May,47.59,0.00,0.00,666.54,0.72,0.00,0.00,22.30,29.89
TSph10,5/30/18,2018,May,49.45,0.00,0.00,692.63,0.33,0.00,0.00,10.13,68.38
TSph11,5/30/18,2018,May,25.30,0.00,0.00,354.43,0.43,0.00,0.00,13.44,26.37
TSph9,5/30/18,2018,May,54.30,0.00,0.00,760.54,0.48,0.00,0.00,14.93,50.94
TSph7,5/31/18,2018,May,53.58,0.00,0.00,750.51,1.29,0.00,0.00,39.96,18.78
TSph3,6/3/18,2018,June,104.03,0.00,0.00,1457.08,0.37,0.00,0.00,11.46,127.14
TSph7,6/3/18,2018,June,99.88,0.00,0.00,1398.96,1.66,0.00,0.00,51.42,27.21
TSph7,6/6/18,2018,June,90.06,0.00,0.00,1261.46,0.67,0.00,0.00,20.75,60.79
TSph3,6/9/18,2018,June,105.56,0.00,0.00,1478.52,0.54,0.00,0.00,16.73,88.40
TSph7,6/9/18,2018,June,78.87,0.00,0.00,1104.73,0.48,0.00,0.00,14.87,74.31
TSph7,6/12/18,2018,June,80.36,0.00,0.00,1125.63,0.52,0.00,0.00,16.11,69.89
TSph7,6/15/18,2018,June,79.02,0.00,0.00,1106.89,0.59,0.00,0.00,18.27,60.57
TSph7,6/18/18,2018,June,88.40,0.00,0.00,1238.22,0.51,0.00,0.00,15.80,78.38
TSph10,6/19/18,2018,June,64.33,0.00,0.00,901.08,0.41,0.00,0.00,12.54,71.83
TSph11,6/19/18,2018,June,16.92,0.00,0.00,236.97,0.41,0.00,0.00,12.67,18.71
TSph9,6/19/18,2018,June,53.17,0.00,0.00,744.81,0.36,0.00,0.00,11.27,66.06
TSph3,6/21/18,2018,June,82.86,0.00,0.00,1160.55,0.42,0.00,0.00,13.01,89.21
TSph7,6/21/18,2018,June,81.73,0.00,0.00,1144.85,0.64,0.00,0.00,19.82,57.75
TSph7,6/24/18,2018,June,79.32,0.00,0.00,1111.09,0.50,0.00,0.00,15.49,71.74
TSph7,6/26/18,2018,June,95.19,0.00,0.00,1333.38,0.83,0.00,0.00,25.71,51.87
TSph3,6/27/18,2018,June,70.69,0.00,0.00,990.21,0.59,0.00,0.00,18.27,54.18
TSph7,6/29/18,2018,June,86.18,0.00,0.00,1207.15,0.57,0.00,0.00,17.66,68.37
TSph7,7/2/18,2018,July,80.02,0.00,0.00,1120.77,0.55,0.00,0.00,17.04,65.79
TSph3,7/3/18,2018,July,62.52,0.00,0.00,875.72,0.38,0.00,0.00,11.77,74.40
TSph7,7/5/18,2018,July,89.41,0.00,0.00,1252.35,0.68,0.00,0.00,21.06,59.46
TSph3,7/9/18,2018,July,60.93,0.00,0.00,853.45,0.45,0.00,0.00,13.94,61.23
TSph7,7/11/18,2018,July,87.07,0.00,0.00,1219.58,0.74,0.00,0.00,22.92,53.21
TSph7,7/14/18,2018,July,89.56,0.00,0.00,1254.45,0.57,0.00,0.00,17.66,71.05
TSph3,7/15/18,2018,July,71.78,0.00,0.00,1005.48,0.24,0.00,0.00,7.43,135.26
TSph7,7/17/18,2018,July,95.52,0.00,0.00,1337.95,0.67,0.00,0.00,20.75,64.47
TSph7,7/19/18,2018,July,94.93,0.00,0.00,1329.64,1.29,0.00,0.00,39.96,33.28
TSph3,7/21/18,2018,July,71.29,0.00,0.00,998.53,0.19,0.00,0.00,5.89,169.67
TSph7,7/22/18,2018,July,103.29,0.00,0.00,1446.80,1.30,0.00,0.00,40.27,35.93
TSph7,7/25/18,2018,July,79.73,0.00,0.00,1116.82,0.39,0.00,0.00,12.08,92.45
TSph3,7/27/18,2018,July,70.20,0.00,0.00,983.31,0.20,0.00,0.00,6.19,158.73
TSph7,7/28/18,2018,July,108.70,0.00,0.00,1522.52,0.77,0.00,0.00,23.85,63.84
TSph10,7/31/18,2018,July,60.76,0.00,0.00,851.05,0.37,0.00,0.00,11.37,74.87
TSph11,7/31/18,2018,July,18.83,0.00,0.00,263.81,0.41,0.00,0.00,12.67,20.82
TSph7,7/31/18,2018,July,78.60,0.00,0.00,1100.96,0.38,0.00,0.00,11.77,93.54
TSph9,7/31/18,2018,July,52.02,0.00,0.00,728.62,0.29,0.00,0.00,8.98,81.12
TSph3,8/2/18,2018,August,65.40,0.00,0.00,916.10,0.22,0.00,0.00,6.81,134.44
TSph7,8/3/18,2018,August,88.00,0.00,0.00,1232.55,0.96,0.00,0.00,29.74,41.45
TSph10,8/6/18,2018,August,77.82,0.00,0.00,1089.95,0.34,0.00,0.00,10.44,104.42
TSph11,8/6/18,2018,August,40.27,0.00,0.00,564.12,0.33,0.00,0.00,10.22,55.19
TSph7,8/6/18,2018,August,79.26,0.00,0.00,1110.19,0.53,0.00,0.00,16.42,67.63
TSph9,8/6/18,2018,August,85.47,0.00,0.00,1197.14,0.32,0.00,0.00,10.04,119.29
TSph3,8/7/18,2018,August,62.39,0.00,0.00,873.84,0.44,0.00,0.00,13.63,64.12
TSph7,8/9/18,2018,August,81.97,0.00,0.00,1148.10,0.45,0.00,0.00,13.94,82.37
TSph7,8/12/18,2018,August,71.85,0.00,0.00,1006.36,0.45,0.00,0.00,13.94,72.20
TSph3,8/13/18,2018,August,45.42,0.00,0.00,636.23,0.83,0.00,0.00,25.71,24.75
TSph7,8/15/18,2018,August,75.15,0.00,0.00,1052.63,0.41,0.00,0.00,12.70,82.89
TSph7,8/18/18,2018,August,79.26,0.00,0.00,1110.15,0.52,0.00,0.00,16.11,68.93
TSph3,8/19/18,2018,August,44.17,0.00,0.00,618.66,0.94,0.00,0.00,29.12,21.25
TSph7,8/21/18,2018,August,97.81,0.00,0.00,1370.01,0.78,0.00,0.00,24.16,56.71
TSph7,8/24/18,2018,August,80.22,0.00,0.00,1123.66,0.66,0.00,0.00,20.44,54.97
TSph3,8/25/18,2018,August,46.94,0.00,0.00,657.47,1.09,0.00,0.00,33.76,19.47
TSph7,8/27/18,2018,August,79.97,0.00,0.00,1120.10,0.77,0.00,0.00,23.85,46.96
TSph7,8/30/18,2018,August,77.29,0.00,0.00,1082.57,0.30,0.00,0.00,9.29,116.50
TSph3,8/31/18,2018,August,40.08,0.00,0.00,561.37,0.94,0.00,0.00,29.12,19.28
TSph7,9/2/18,2018,September,74.75,0.00,0.00,1047.05,0.31,0.00,0.00,9.60,109.05
TSph7,9/5/18,2018,September,66.37,0.00,0.00,929.62,0.30,0.00,0.00,9.29,100.04
TSph7,9/8/18,2018,September,66.85,0.00,0.00,936.40,0.26,0.00,0.00,8.05,116.28
TSph7,9/11/18,2018,September,69.06,0.00,0.00,967.35,0.32,0.00,0.00,9.91,97.60
TSph7,9/14/18,2018,September,64.10,0.00,0.00,897.85,0.29,0.00,0.00,8.98,99.96
TSph3,9/17/18,2018,September,72.82,0.00,0.00,1020.02,0.28,0.00,0.00,8.67,117.61
TSph7,9/17/18,2018,September,68.20,0.00,0.00,955.31,0.42,0.00,0.00,13.01,73.43
TSph7,9/20/18,2018,September,69.13,0.00,0.00,968.32,0.51,0.00,0.00,15.80,61.30
TSph3,9/23/18,2018,September,76.34,0.00,0.00,1069.32,0.27,0.00,0.00,8.36,127.86
TSph7,9/23/18,2018,September,72.03,0.00,0.00,1008.97,0.32,0.00,0.00,9.91,101.80
TSph10,9/26/18,2018,September,84.51,0.00,0.00,1183.66,0.32,0.00,0.00,9.97,118.68
TSph11,9/26/18,2018,September,21.24,0.00,0.00,297.52,0.38,0.00,0.00,11.80,25.21
TSph7,9/26/18,2018,September,70.32,0.00,0.00,985.01,0.53,0.00,0.00,16.42,60.00
TSph9,9/26/18,2018,September,58.43,0.00,0.00,818.37,0.21,0.00,0.00,6.47,126.42
TSph7,9/28/18,2018,September,74.95,0.00,0.00,1049.82,1.26,0.00,0.00,39.03,26.90
TSph3,9/29/18,2018,September,72.43,0.00,0.00,1014.58,0.24,0.00,0.00,7.43,136.48
TSph7,10/1/18,2018,October,66.70,0.00,0.00,934.31,0.35,0.00,0.00,10.84,86.18
TSph7,10/4/18,2018,October,68.19,0.00,0.00,955.19,0.32,0.00,0.00,9.91,96.37
TSph3,10/5/18,2018,October,73.26,0.00,0.00,1026.11,0.27,0.00,0.00,8.36,122.70
TSph7,10/7/18,2018,October,62.36,0.00,0.00,873.48,0.26,0.00,0.00,8.05,108.46
TSph7,10/10/18,2018,October,58.55,0.00,0.00,820.17,0.23,0.00,0.00,7.12,115.13
TSph3,10/11/18,2018,October,63.43,0.00,0.00,888.46,0.30,0.00,0.00,9.29,95.61
TSph7,10/13/18,2018,October,68.57,0.00,0.00,960.50,0.33,0.00,0.00,10.22,93.97
TSph7,10/16/18,2018,October,68.18,0.00,0.00,954.98,0.46,0.00,0.00,14.25,67.03
