SITENAME	DATE	SALINTY	TN	TP
TSph10	11/21/94		67.68	0.37
TSph11	11/21/94		33.88	0.69
TSph9	11/21/94		61.02	0.35
Joe Bay	11/30/94		51.63	0.51
Little Madeira Bay	11/30/94		56.11	0.29
TSph10	11/30/94		63.15	0.2
TSph11	11/30/94		47.97	0.8
TSph9	11/30/94		57.51	0.21
Gunboat Isla-9999	12/6/94		53.63	0.7
Oyster Bay	12/6/94		56.02	1.08
Ponce de Leon Bay	12/6/94		48.99	1.16
Tarpon Bay	12/6/94		58.13	0.62
Joe Bay	1/4/95		51.71	0.48
Little Madeira Bay	1/4/95		53.12	0.14
TSph10	1/4/95		70.06	0.26
TSph11	1/4/95		27.88	1.29
TSph9	1/4/95		48.51	0.15
Gunboat Isla-9999	1/8/95		68.67	0.76
Oyster Bay	1/8/95		52.59	1.07
Ponce de Leon Bay	1/8/95		54.75	0.98
Tarpon Bay	1/8/95		60.19	0.87
Joe Bay	2/1/95		62.78	0.48
Little Madeira Bay	2/1/95		52.28	0.31
TSph10	2/1/95		104.64	0.72
TSph11	2/1/95		24.36	0.38
TSph9	2/1/95		48.92	0.27
Gunboat Isla-9999	2/7/95		72.55	0.4
Oyster Bay	2/7/95		54.83	1.11
Ponce de Leon Bay	2/7/95		49.67	0.96
Tarpon Bay	2/7/95		69.67	0.35
Joe Bay	3/1/95		75.46	0.49
Little Madeira Bay	3/1/95		57.19	0.25
TSph10	3/1/95		81.37	0.29
TSph11	3/1/95		21.5	0.45
TSph9	3/1/95		56.88	0.23
Gunboat Isla-9999	3/6/95		85.27	0.58
Oyster Bay	3/6/95		45.19	1.42
Ponce de Leon Bay	3/6/95		33.93	0.69
Tarpon Bay	3/6/95		90.69	0.51
Joe Bay	4/18/95		58.18	0.44
Little Madeira Bay	4/18/95		51.98	0.2
TSph10	4/18/95		61.84	0.23
TSph11	4/18/95		18.37	0.26
TSph9	4/18/95		41.88	0.18
Gunboat Isla-9999	4/19/95		101.57	0.92
Oyster Bay	4/19/95		62.36	1.06
Ponce de Leon Bay	4/19/95		51.15	0.7
Tarpon Bay	4/19/95		115.46	0.95
Gunboat Isla-9999	5/8/95		84.03	0.94
