SITENAME,DATE,YEAR,MONTH,TN_uM_L,TN_moles_L,TN_g_L,TN_ug_L,TP_uM_L,TP_moles_L,TP_g_L,TP_ug_L,NP
TSph3,11/30/03,2003,November,24.00,0.00,0.00,336.11,0.04,0.00,0.00,1.24,271.29
TSph7,12/2/03,2003,December,24.06,0.00,0.00,337.06,0.21,0.00,0.00,6.50,51.82
TSph9,12/2/03,2003,December,40.84,0.00,0.00,572.09,0.31,0.00,0.00,9.73,58.82
TSph10,12/3/03,2003,December,42.18,0.00,0.00,590.82,0.16,0.00,0.00,4.83,122.27
TSph11,12/3/03,2003,December,30.80,0.00,0.00,431.43,0.30,0.00,0.00,9.26,46.58
TSph7,12/5/03,2003,December,33.48,0.00,0.00,468.98,0.21,0.00,0.00,6.50,72.10
TSph3,12/6/03,2003,December,23.93,0.00,0.00,335.15,0.18,0.00,0.00,5.58,60.11
TSph7,12/8/03,2003,December,29.64,0.00,0.00,415.20,0.19,0.00,0.00,5.89,70.55
TSph3,12/9/03,2003,December,22.94,0.00,0.00,321.35,0.09,0.00,0.00,2.79,115.28
TSph7,12/11/03,2003,December,25.64,0.00,0.00,359.07,0.25,0.00,0.00,7.74,46.37
TSph3,12/12/03,2003,December,23.68,0.00,0.00,331.70,0.11,0.00,0.00,3.41,97.35
TSph3,12/14/03,2003,December,26.90,0.00,0.00,376.73,0.12,0.00,0.00,3.72,101.36
TSph7,12/14/03,2003,December,28.61,0.00,0.00,400.67,0.20,0.00,0.00,6.19,64.68
TSph7,12/17/03,2003,December,25.94,0.00,0.00,363.38,0.18,0.00,0.00,5.58,65.18
TSph3,12/18/03,2003,December,19.66,0.00,0.00,275.34,0.03,0.00,0.00,0.93,296.31
TSph7,12/20/03,2003,December,27.42,0.00,0.00,384.04,0.19,0.00,0.00,5.89,65.26
TSph3,12/21/03,2003,December,19.88,0.00,0.00,278.42,0.09,0.00,0.00,2.79,99.87
TSph7,12/23/03,2003,December,28.33,0.00,0.00,396.86,0.20,0.00,0.00,6.19,64.06
TSph3,12/24/03,2003,December,22.96,0.00,0.00,321.64,0.11,0.00,0.00,3.41,94.40
TSph7,12/26/03,2003,December,23.77,0.00,0.00,332.97,0.29,0.00,0.00,8.98,37.07
TSph3,12/27/03,2003,December,23.50,0.00,0.00,329.15,0.12,0.00,0.00,3.72,88.56
TSph7,12/29/03,2003,December,63.62,0.00,0.00,891.15,0.28,0.00,0.00,8.67,102.75
TSph3,12/30/03,2003,December,25.66,0.00,0.00,359.39,0.06,0.00,0.00,1.86,193.38
TSph7,1/1/04,2004,January,22.80,0.00,0.00,319.39,0.13,0.00,0.00,4.03,79.32
TSph3,1/2/04,2004,January,27.52,0.00,0.00,385.46,0.06,0.00,0.00,1.86,207.41
TSph7,1/4/04,2004,January,36.37,0.00,0.00,509.48,0.11,0.00,0.00,3.41,149.53
TSph3,1/5/04,2004,January,30.75,0.00,0.00,430.67,0.07,0.00,0.00,2.17,198.63
TSph7,1/7/04,2004,January,31.94,0.00,0.00,447.34,0.10,0.00,0.00,3.10,144.42
TSph3,1/8/04,2004,January,25.93,0.00,0.00,363.16,0.12,0.00,0.00,3.72,97.71
TSph7,1/10/04,2004,January,33.31,0.00,0.00,466.56,0.15,0.00,0.00,4.65,100.42
TSph3,1/11/04,2004,January,28.19,0.00,0.00,394.83,0.12,0.00,0.00,3.72,106.23
TSph7,1/13/04,2004,January,25.97,0.00,0.00,363.78,0.12,0.00,0.00,3.72,97.87
TSph3,1/14/04,2004,January,28.47,0.00,0.00,398.72,0.06,0.00,0.00,1.86,214.55
TSph7,1/16/04,2004,January,32.79,0.00,0.00,459.35,0.14,0.00,0.00,4.34,105.93
TSph3,1/17/04,2004,January,31.33,0.00,0.00,438.90,0.05,0.00,0.00,1.55,283.40
TSph7,1/19/04,2004,January,24.01,0.00,0.00,336.27,0.14,0.00,0.00,4.34,77.55
TSph3,1/20/04,2004,January,32.36,0.00,0.00,453.25,0.08,0.00,0.00,2.48,182.92
