Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS2,12/28/00,2000,0.00,50.77,0.000051,0.000711,711.18,0.09,0.000000,0.000003,2.79,564.14,255.12
SRS3,12/28/00,2000,0.00,41.93,0.000042,0.000587,587.37,0.12,0.000000,0.000004,3.72,349.45,158.03
SRS1,12/30/00,2000,0.00,37.17,0.000037,0.000521,520.57,0.09,0.000000,0.000003,2.79,412.94,186.74
SRS4,12/30/00,2000,2.00,55.99,0.000056,0.000784,784.25,0.19,0.000000,0.000006,5.89,294.68,133.26
SRS5,12/30/00,2000,20.00,20.86,0.000021,0.000292,292.16,0.52,0.000001,0.000016,16.11,40.11,18.14
SRS6,12/30/00,2000,23.00,16.64,0.000017,0.000233,233.13,0.50,0.000001,0.000015,15.49,33.29,15.05
SRS2,12/31/00,2000,0.00,60.64,0.000061,0.000849,849.34,0.09,0.000000,0.000003,2.79,673.74,304.68
SRS3,12/31/00,2000,0.00,62.65,0.000063,0.000878,877.54,0.11,0.000000,0.000003,3.41,569.55,257.56
SRS1,1/2/01,2001,0.00,50.22,0.000050,0.000703,703.45,0.15,0.000000,0.000005,4.65,334.81,151.41
SRS4,1/2/01,2001,3.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS5,1/2/01,2001,11.00,34.87,0.000035,0.000488,488.48,0.12,0.000000,0.000004,3.72,290.62,131.42
SRS6,1/2/01,2001,19.00,19.75,0.000020,0.000277,276.62,0.47,0.000000,0.000015,14.56,42.02,19.00
SRS2,1/3/01,2001,0.00,59.97,0.000060,0.000840,840.01,0.09,0.000000,0.000003,2.79,666.34,301.33
SRS3,1/3/01,2001,0.00,54.10,0.000054,0.000758,757.72,0.13,0.000000,0.000004,4.03,416.12,188.18
SRS1,1/5/01,2001,0.00,42.78,0.000043,0.000599,599.23,0.17,0.000000,0.000005,5.27,251.65,113.80
SRS4,1/5/01,2001,2.00,54.23,0.000054,0.000760,759.57,0.31,0.000000,0.000010,9.60,174.93,79.11
SRS5,1/5/01,2001,11.00,39.18,0.000039,0.000549,548.82,0.13,0.000000,0.000004,4.03,301.40,136.30
SRS6,1/5/01,2001,18.00,22.06,0.000022,0.000309,309.04,0.46,0.000000,0.000014,14.25,47.96,21.69
SRS2,1/6/01,2001,0.00,59.81,0.000060,0.000838,837.76,0.11,0.000000,0.000003,3.41,543.73,245.88
SRS3,1/6/01,2001,0.00,49.56,0.000050,0.000694,694.12,0.14,0.000000,0.000004,4.34,353.96,160.07
SRS1,1/8/01,2001,0.00,42.41,0.000042,0.000594,594.08,0.23,0.000000,0.000007,7.12,184.40,83.39
SRS4,1/8/01,2001,2.00,55.37,0.000055,0.000776,775.55,0.16,0.000000,0.000005,4.96,346.06,156.49
SRS5,1/8/01,2001,17.00,23.27,0.000023,0.000326,326.00,0.42,0.000000,0.000013,13.01,55.41,25.06
SRS6,1/8/01,2001,23.00,14.63,0.000015,0.000205,204.89,0.54,0.000001,0.000017,16.73,27.09,12.25
SRS2,1/9/01,2001,0.00,58.20,0.000058,0.000815,815.21,0.11,0.000000,0.000003,3.41,529.09,239.26
SRS3,1/9/01,2001,0.00,63.19,0.000063,0.000885,885.16,0.13,0.000000,0.000004,4.03,486.11,219.83
SRS1,1/10/01,2001,0.00,36.28,0.000036,0.000508,508.20,0.44,0.000000,0.000014,13.63,82.46,37.29
SRS4,1/11/01,2001,2.00,58.27,0.000058,0.000816,816.17,0.15,0.000000,0.000005,4.65,388.46,175.67
SRS5,1/11/01,2001,19.00,25.27,0.000025,0.000354,353.96,0.49,0.000000,0.000015,15.18,51.57,23.32
SRS6,1/11/01,2001,24.00,16.36,0.000016,0.000229,229.17,0.54,0.000001,0.000017,16.73,30.30,13.70
SRS2,1/12/01,2001,0.00,52.71,0.000053,0.000738,738.36,0.13,0.000000,0.000004,4.03,405.49,183.37
SRS3,1/12/01,2001,0.00,62.94,0.000063,0.000882,881.60,0.12,0.000000,0.000004,3.72,524.50,237.19
SRS1,1/13/01,2001,0.00,40.26,0.000040,0.000564,563.96,0.75,0.000001,0.000023,23.23,53.68,24.28
SRS4,1/14/01,2001,3.00,50.70,0.000051,0.000710,710.15,0.17,0.000000,0.000005,5.27,298.24,134.87
SRS5,1/14/01,2001,19.00,27.18,0.000027,0.000381,380.72,0.38,0.000000,0.000012,11.77,71.53,32.35
SRS6,1/14/01,2001,24.00,7.94,0.000008,0.000111,111.16,0.68,0.000001,0.000021,21.06,11.67,5.28
