"site","hydroseason","year","group","common_name","functional_grp","d13C","d15N","d34S"
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-25.4,8.08,5.16
"SRS6","Dry",2019,"Consumer","Pink Shrimp","Shrimp",-27.64,8.18,8.05
"SRS6","Wet",2019,"Consumer","Pink Shrimp","Shrimp",-28.11,5.15,5.86
"SRS6","Wet",2019,"Consumer","Pink Shrimp","Shrimp",-28.87,7.93,3.41
"SRS6","Dry",2019,"Consumer","Polychete","Benthic_invert",-35.47,8.21,14.58
"SRS6","Dry",2019,"Consumer","Polychete","Benthic_invert",-37.03,9.34,13.6
"SRS6","Dry",2019,"Consumer","Porceline Crab","Crab",-22.92,5.43,10.98
"SRS6","Dry",2019,"Consumer","Porceline Crab","Crab",-25.76,6.28,10.19
"SRS6","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-28.92,5.23,0.56
"SRS6","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-28.21,5.47,-5.53
"SRS6","Wet",2019,"Consumer","Sailfin Molly","Forage_fish",-28.34,6.38,-3.86
"SRS6","Dry",2019,"Consumer","Salt Marsh Mud Crab","Crab",-21.03,5.33,9.76
"SRS6","Dry",2019,"Consumer","Salt Marsh Mud Crab","Crab",-21.73,5.47,8.66
"SRS6","Dry",2019,"Consumer","Salt Marsh Mud Crab","Crab",-26.4,8.13,11
"SRS6","Wet",2019,"Consumer","Salt Marsh Mud Crab","Crab",-27.23,6.62,5.24
"SRS6","Wet",2019,"Consumer","Salt Marsh Mud Crab","Crab",-25.31,7.72,1.28
"SRS6","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-28.66,8.85,-6.47
"SRS6","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-27.37,9.24,-3.86
"SRS6","Wet",2019,"Consumer","Silver Jenny","demersal_fish",-28.65,9.97,-6.37
"SRS6","Wet",2019,"Consumer","Striped Mullet","demersal_fish",-30.67,7.82,5.44
"SRS6","Dry",2019,"Consumer","Tidewater Mojarra","Forage_fish",-24.52,9.64,6.72
"SRS6","Dry",2019,"Consumer","Tidewater Mojarra","Forage_fish",-23.73,9.69,7.8
"SRS6","Wet",2019,"Consumer","Tidewater Mojarra","Forage_fish",-26.8,8.69,-0.27
"SRS6","Dry",2019,"Consumer","Tunicate","Sessile_filter_feeder",-25.65,6.36,NA
