"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Wet","RB10","Floc","Redear Sunfish",0.156,0.135,0.004,0.508,0.122,0.053,0.223,0.478,0.004
"Wet","RB10","Mangrove","Redear Sunfish",0.205,0.169,0.003,0.599,0.171,0.059,0.313,0.599,0.003
"Wet","RB10","Phytoplankton","Redear Sunfish",0.421,0.146,0.156,0.746,0.413,0.324,0.509,0.746,0.156
"Wet","RB10","Epiphytes","Redfish",0.234,0.16,0.005,0.601,0.217,0.109,0.33,0.601,0.005
"Wet","RB10","Floc","Redfish",0.144,0.128,0.004,0.478,0.112,0.049,0.203,0.434,0.004
"Wet","RB10","Mangrove","Redfish",0.197,0.163,0.003,0.569,0.166,0.057,0.301,0.569,0.003
"Wet","RB10","Phytoplankton","Redfish",0.425,0.134,0.161,0.698,0.422,0.339,0.507,0.698,0.161
"Wet","RB10","Epiphytes","Snook",0.246,0.173,0.006,0.647,0.226,0.112,0.348,0.647,0.006
"Wet","RB10","Floc","Snook",0.155,0.137,0.004,0.519,0.119,0.053,0.222,0.4755,0.004
"Wet","RB10","Mangrove","Snook",0.216,0.181,0.003,0.633,0.181,0.059,0.33,0.633,0.003
"Wet","RB10","Phytoplankton","Snook",0.383,0.137,0.119,0.656,0.384,0.288,0.474,0.656,0.119
"Wet","RB10","Epiphytes","Spotted Sunfish",0.215,0.155,0.006,0.575,0.19,0.092,0.305,0.575,0.006
"Wet","RB10","Floc","Spotted Sunfish",0.154,0.135,0.004,0.5,0.119,0.051,0.22,0.4735,0.004
"Wet","RB10","Mangrove","Spotted Sunfish",0.194,0.161,0.003,0.566,0.161,0.056,0.291,0.566,0.003
"Wet","RB10","Phytoplankton","Spotted Sunfish",0.438,0.153,0.161,0.778,0.427,0.335,0.529,0.778,0.161
"Wet","RB10","Epiphytes","Spotted Tilapia",0.194,0.135,0.005,0.523,0.175,0.091,0.272,0.523,0.005
"Wet","RB10","Floc","Spotted Tilapia",0.136,0.12,0.004,0.444,0.105,0.046,0.192,0.411,0.004
"Wet","RB10","Mangrove","Spotted Tilapia",0.173,0.143,0.003,0.494,0.147,0.051,0.261,0.494,0.003
"Wet","RB10","Phytoplankton","Spotted Tilapia",0.497,0.148,0.226,0.804,0.489,0.394,0.589,0.804,0.226
"Wet","RB10","Epiphytes","Striped Mullet",0.237,0.17,0.006,0.645,0.216,0.106,0.337,0.645,0.006
"Wet","RB10","Floc","Striped Mullet",0.143,0.135,0.004,0.498,0.106,0.045,0.201,0.435,0.004
"Wet","RB10","Mangrove","Striped Mullet",0.191,0.165,0.003,0.571,0.153,0.052,0.295,0.571,0.003
"Wet","RB10","Phytoplankton","Striped Mullet",0.428,0.139,0.146,0.71,0.428,0.341,0.514,0.71,0.146
"Wet","RB10","Epiphytes","Tidewater Mojarra",0.217,0.152,0.006,0.572,0.197,0.103,0.302,0.572,0.006
"Wet","RB10","Floc","Tidewater Mojarra",0.139,0.123,0.004,0.447,0.107,0.048,0.197,0.4205,0.004
"Wet","RB10","Mangrove","Tidewater Mojarra",0.185,0.154,0.003,0.542,0.151,0.054,0.285,0.542,0.003
"Wet","RB10","Phytoplankton","Tidewater Mojarra",0.459,0.14,0.183,0.75,0.453,0.367,0.547,0.75,0.183
"Wet","RB10","Epiphytes","Tidewater Silverside",0.206,0.143,0.006,0.552,0.189,0.096,0.29,0.552,0.006
"Wet","RB10","Floc","Tidewater Silverside",0.139,0.119,0.004,0.433,0.111,0.048,0.199,0.4255,0.004
"Wet","RB10","Mangrove","Tidewater Silverside",0.192,0.157,0.003,0.56,0.16,0.057,0.293,0.56,0.003
"Wet","RB10","Phytoplankton","Tidewater Silverside",0.463,0.141,0.205,0.761,0.453,0.366,0.553,0.761,0.205
