"processed_at","season","date","site","common_name","species_name","functional_grp","group","sampleID","d13C","C.","d15N","N.","d34S","S.","outlier","CN_molar_ratio","CS_molar_ratio","WSU_ID_CN","WSU_ID_S","WSU_ID_C","WSU_ID_N","S_outlier"
"FIU","wet19","43795","SRS3","Spotted Tilapia","Pelmatolapia mariae","demersal_fish","Consumer","W19-SRS3-Tma2",-33.32,48.83076667,9.23,13.84816667,24.22,0.92,NA,"4.113846196","141.5384541","G-223881","S-30970","0","0",NA
"FIU","wet19","43795","SRS3","Mayan Cichlid","Mayaheros urophthalmus","demersal_fish","Consumer","W19-SRS3-Mur1",-31.2,42.02757,8.19,12.767,24.75,1.21,NA,"3.840539281","92.6227438","G-223884","S-30973","0","0",NA
"FIU","wet19","43795","SRS3","Giant Water Bug","Belastoma sp.","Insect","Consumer","W19-SRS3-Bel1",-32.83,43.53719091,6.36,10.46509091,22.58,0.45,NA,"4.853602308","257.9981684","G-223894","S-30983","0","0",NA
"FIU","wet19","43795","SRS3","Mayan Cichlid","Mayaheros urophthalmus","demersal_fish","Consumer","W19-SRS3-Mur2",-29.94,45.90272,9.23,14.7172,24,1.27,NA,"3.638815354","96.38366404","G-223895","S-30984","0","0",NA
"FIU","wet19","43795","SRS3","Giant Water Bug","Belastoma sp.","Insect","Consumer","W19-SRS3-Bel2",-31.66,40.012,5.73,10.69025,23.45,0.51,NA,"4.366658092","209.2130719","G-223896","S-30985","0","0",NA
"FIU","wet19","43795","SRS3","Spotted Sunfish","Lepomis punctatus","demersal_fish","Consumer","W19-SRS3-Lpu2",-29.24,54.41456,10.36,17.07,24.58,1.14,NA,"3.719018942","127.2855205","G-224168","S-31153","0","0",NA
"FIU","wet19","43795","SRS3","Tidewater Mojarra","Eucinostomus Harengulus","Forage_fish","Consumer","W19-SRS3-Eha2",-32.21,44.76032,11.22,13.9738,18.3,1.15,NA,"3.737020233","103.7920464","G-224186","S-31171","0","0",NA
"FIU","wet19","43795","SRS3","Sailfin Molly","Poecilia latipinna","Forage_fish","Consumer","W19-SRS3-Pla1",-31.1,46.5623,9.18,10.6136,20.98,0.78,NA,"5.118214681","159.1873504","G-224253","S-31238","0","0",NA
"FIU","wet19","43795","SRS3","Bluefin Killifish","Lucania goodei","Forage_fish","Consumer","W19-SRS3-Lgo3",-29.11,37.51881111,9.49,10.87,22.39,0.87,NA,"4.026857985","115.0001873","G-224267","S-31252","0","0",NA
"FIU","wet19","43795","SRS3","Golden Topminnow","Fundulus chrysotus","Forage_fish","Consumer","W19-SRS3-Fch2",-29.94,44.09297778,10.54,13.18222222,21.73,1.05,NA,"3.902362329","111.9821658","G-224268","S-31253","0","0",NA
"FIU","wet19","43795","SRS3","Bluefin Killifish","Lucania goodei","Forage_fish","Consumer","W19-SRS3-Lgo1",-29.32,39.54794167,9.64,11.55133333,21.99,0.94,NA,"3.994280484","112.1927423","G-224272","S-31257","0","0",NA
"FIU","wet19","43795","SRS3","Bluefin Killifish","Lucania goodei","Forage_fish","Consumer","W19-SRS3-Lgo2",-28.84,40.68340909,9.45,12.11327273,22.11,0.97,NA,"3.91834464","111.8444236","G-224273","S-31258","0","0",NA
"FIU","wet19","43795","SRS3","Mosquito Fish","Gambusia affinis","Forage_fish","Consumer","W19-SRS3-Gho1",-30.31,38.00543,9.42,11.0768,21,0.94,NA,"4.002931202","107.8168227","G-224279","S-31264",NA,NA,NA
"FIU","wet19","43795","SRS3","Flagfish","Jordanella floridae","Forage_fish","Consumer","W19-SRS3-Jfl1",-31.21,40.8836,10.14,10.50283333,21.28,0.8,NA,"4.541396767","136.2786667","G-224284","S-31269",NA,NA,NA
"FIU","wet19","43795","SRS3","Mosquito Fish","Gambusia affinis","Forage_fish","Consumer","W19-SRS3-Gho2",-30.18,41.7842,9.56,12.0155,21.61,0.73,NA,"4.057112341","152.636347","G-224285","S-31270",NA,NA,NA
"FIU","wet19","43795","SRS3","Flagfish","Jordanella floridae","Forage_fish","Consumer","W19-SRS3-Jfl2",-29.89,54.76422727,9.59,14.97745455,21.26,0.72,NA,"4.265851602","202.8304714","G-224286","S-31271",NA,NA,NA
"FIU","wet19","43795","SRS3","Golden Topminnow","Fundulus chrysotus","Forage_fish","Consumer","W19-SRS3-Fch3",-29.23,49.81236667,9.97,14.69444444,21.59,1.06,NA,"3.95485709","125.31413","G-224293","S-31278",NA,NA,NA
"FIU","wet19","43795","SRS3","Sailfin Molly","Poecilia latipinna","Forage_fish","Consumer","W19-SRS3-Pla2",-32.55,51.31285,8.99,9.949,19.41,0.74,NA,"6.017186819","184.9111712","G-224325","S-31310",NA,NA,NA
