"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Redear Sunfish","RB10","Phytoplankton","Wet",0.317,0.167,0.054,0.715,0.294,0.196,0.412,0.715,0.054
"Redfish","RB10","Epiphytes","Wet",0.283,0.224,0.001,0.751,0.275,0.065,0.444,0.751,0.001
"Redfish","RB10","Floc","Wet",0.168,0.148,0.01,0.573,0.126,0.063,0.231,0.483,0.01
"Redfish","RB10","Mangrove","Wet",0.155,0.187,0.001,0.637,0.071,0.018,0.235,0.5605,0.001
"Redfish","RB10","Phytoplankton","Wet",0.394,0.184,0.059,0.803,0.388,0.27,0.505,0.803,0.059
"Snook","RB10","Epiphytes","Wet",0.255,0.214,0.001,0.736,0.224,0.052,0.399,0.736,0.001
"Snook","RB10","Floc","Wet",0.259,0.182,0.014,0.698,0.228,0.116,0.372,0.698,0.014
"Snook","RB10","Mangrove","Wet",0.222,0.236,0.001,0.767,0.122,0.024,0.379,0.767,0.001
"Snook","RB10","Phytoplankton","Wet",0.264,0.15,0.038,0.609,0.247,0.152,0.357,0.609,0.038
"Spotted Sunfish","RB10","Epiphytes","Wet",0.148,0.168,0.001,0.636,0.087,0.031,0.209,0.476,0.001
"Spotted Sunfish","RB10","Floc","Wet",0.335,0.199,0.021,0.749,0.326,0.176,0.472,0.749,0.021
"Spotted Sunfish","RB10","Mangrove","Wet",0.154,0.18,0.001,0.635,0.077,0.02,0.232,0.55,0.001
"Spotted Sunfish","RB10","Phytoplankton","Wet",0.363,0.188,0.054,0.784,0.348,0.224,0.483,0.784,0.054
"Spotted Tilapia","RB10","Epiphytes","Wet",0.119,0.149,0.001,0.569,0.063,0.022,0.154,0.352,0.001
"Spotted Tilapia","RB10","Floc","Wet",0.411,0.257,0.012,0.873,0.411,0.181,0.614,0.873,0.012
"Spotted Tilapia","RB10","Mangrove","Wet",0.078,0.094,0.001,0.331,0.043,0.013,0.108,0.2505,0.001
"Spotted Tilapia","RB10","Phytoplankton","Wet",0.392,0.228,0.039,0.845,0.376,0.204,0.562,0.845,0.039
"Striped Mullet","RB10","Epiphytes","Wet",0.188,0.21,0.001,0.736,0.101,0.029,0.289,0.679,0.001
"Striped Mullet","RB10","Floc","Wet",0.351,0.255,0.011,0.851,0.33,0.11,0.555,0.851,0.011
"Striped Mullet","RB10","Mangrove","Wet",0.102,0.135,0.001,0.491,0.046,0.015,0.131,0.305,0.001
